"location_id";"state";"district";"market"
"ce9e2a9179a55cbd305ad082a39a85eb";"MADHYA PRADESH";"KHARGONE";"UNKNOWN"
"391cb23130a0e4e3255a72fcbef3b581";"MAHARASHTRA";"NASHIK";"SATANA"
"51242e826dcf2e4b827b38145ee8c0ee";"MADHYA PRADESH";"SHEOPUR";"SHEOPURBADOD"
"bd6c7c66ed5973235e3b509a3f730ba6";"MAHARASHTRA";"PUNE";"PUNE(KHADIKI)"
"05234e7a98990bec19d0a3ba860dde34";"MAHARASHTRA";"DHULE";"UNKNOWN"
"728dd282d43a954549a70aa0259c5839";"NAN";"SONIPAT";"UNKNOWN"
"070f7a464dabae483d2a1f1d6f674e00";"CHHATTISGARH";"BILASPUR";"TIPHRA"
"c8c04b6be7a31f8225c53001c3968b89";"HARYANA";"KURUKSHETRA";"BABAIN"
"3f649e929085ef5029d16107dbb0e310";"MADHYA PRADESH";"RATLAM";"RATLAM"
"b0273ba1a835c3961510e3a28b02e92e";"GUJARAT";"RAJKOT";"UNKNOWN"
"f29339e90dd22551429e962e4ea747bb";"MADHYA PRADESH";"UJJAIN";"BADNAGAR"
"b379f0554a0f4aeb5f42a3de094c77dd";"KERALA";"KOTTAYAM";"THALAYOLAPARAMBU"
"7fd2ce1609152a17e6e98ec16fd36bfb";"UNKNOWN";"LALITPUR";"MEHRAUNI"
"574fd0abe604b1c0a7ad8ae1b3f22795";"ANDHRA PRADESH";"UNKNOWN";"SIDDIPET(RYTHU BAZAR)"
"f61b58dcb526141632c456b631aaf28a";"RAJASTHAN";"CHURU";"SUJANGARH"
"b8e4614d4a142a01fa3796c5c380b27a";"RAJASTHAN";"JHALAWAR";"BHAWANI MANDI"
"ada2b462cd566c94fe13de99f3f28088";"NAN";"UNKNOWN";"RAHATGARH"
"c22dac91613846707271d239ab473f6f";"UNKNOWN";"PANNA";"UNKNOWN"
"3fddbd193959caf7442748373945d1e9";"UTTAR PRADESH";"UNKNOWN";"NAWABGANJ"
"9131094f9c84e0b6a30b5ef8c3fdc10b";"UTTAR PRADESH";"PRATAPGARH";"PRATAPGARH"
